q06_1,q06_2,q06_3,q06_4,q06_5,q06_6,q06_7,q06_8,q06_9,q06_10,q06_11,q06_12,q06_13,q06_14,q06_15,q06_16,q06_17,q07_1,q07_2,q07_3,q07_4,q07_5,q07_6,q07_7,q07_8,q07_9,q07_10,q07_11,q07_12,q07_13,q07_14,q07_15,q07_16,q07_17,q07_18,q07_19,q08_1,q08_2,q08_3,q08_4,q08_5,q08_6,q08_7,q08_8,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q16_8,q16_9,q20_1,q20_2,q20_3,q20_4,q20_5,q20_6,q26_1,q26_2,q26_3,q26_4,q26_5,q26_6,q26_7,q26_8,q26_9,q26_10,q26_11,q26_12,q26_13,q31_1,q31_2,q31_3,q31_4,q31_5,q31_6,q31_7,q31_8,q31_9,q31_10,q31_11,q31_12,q31_13,q31_14,q31_15,q31_16,q31_17,q31_18,q31_19,q31_20,q35_1,q35_2,q35_3,q35_4,q35_5,q35_6,q35_7,q35_8,q35_9,q35_10,q35_11,q35_12,q35_13,q39_1,q39_2,q39_3,q39_4,q39_5,q39_6,q39_7,q39_8,q48_1,q48_2,q48_3,q48_4,q48_5,q48_6,q48_7,q48_8,q48_9,q48_10,q48_11,q48_12,q48_13,q48_14,q48_15,q48_16,q48_17,q48_18,q48_19,q48_20,q48_21,q48_22,q48_23,q48_24,q48_25,q48_26,q48_27,q48_28,q48_29,q48_30,q48_31,q48_32,q48_33,q48_34,q48_35
1.76476114,1.375213278,1.47015478,-2.717628582,-1.325153213,-1.487416872,0.024166928,-1.859702642,-2.009882837,-2.47711011,-2.311394033,0.013809673,-0.050060065,1.258981863,-4.069825739,-0.793480799,-2.528320981,1.893651422,-0.763559841,-3.238368338,-1.694561968,-1.715276478,0.138096731,-0.502902262,-1.354498768,-1.995497761,0.979335983,2.092740875,0.822250952,-1.316522167,-1.217552844,-2.059367499,-1.532298309,1.241719772,0.611653437,1.101896832,-0.222105575,0.343515618,1.19223511,1.545532579,-0.009206449,-2.058216693,-0.36653174,-0.784274351,3.927125783,1.59098942,-0.191609214,-1.335510468,0.735940495,0.220954769,0.944236397,0.89935496,1.817122817,0.969554131,-1.11110328,1.065071037,0.253752743,0.788877575,-1.874087718,0.598419167,1.408011252,-0.516136532,1.862579657,1.933354232,0.065020544,-0.320499496,-0.133493506,2.066847738,-2.458121809,-0.846993283,-1.520790248,-1.029971451,0.967252519,-1.429876567,-1.515036218,1.529421294,0.867132389,-0.236490652,0.990844044,-0.142124552,0.067322156,-2.924773679,-0.002877015,-0.201391066,-1.512734606,-0.21347453,-0.663439711,1.235390338,-1.160012539,1.452892689,-2.054188871,-0.955744458,-1.748649854,-0.214625336,-2.203793663,-2.03117275,1.150230687,1.436206001,-1.434479792,-0.395877295,-1.093265786,-3.04790993,0.941359382,-2.885070869,0.626038513,-2.339013379,0.320499496,0.487366379,-0.322225705,1.216977441,-0.082282635,1.063920231,1.634144648,0.973581952,0.111052788,-1.440809225,1.032848466,0.104723354,-0.974157356,1.537476937,-1.855674821,1.835535714,-2.912690215,-0.550085311,1.496623321,1.828630878,2.404033923,1.514460815,1.946013099,-0.490243395,0.920069469,-0.748599362,-0.275042656,-2.670445533,-0.490818798,2.57550403,0.907410602,-0.781397335,-3.0611442,1.272791536,2.571476209,-0.02646854,-1.927024798,1.187056482,-2.219329545,-1.966727608,-3.436882389,-3.237792935
-1.817531337,1.511973511,0.363759317,-2.987887402,-2.709532446,-1.635335366,2.531764849,-4.549838279,1.54803313,-1.470852892,1.216537682,1.267780299,2.450156237,1.384183281,1.788430592,-0.872389737,-1.527156508,-0.423226058,-2.092090544,-1.055218333,-1.86308033,-1.885854826,-3.605961929,-3.058108766,-0.236601713,-2.193943153,1.076727579,1.048259459,2.156618283,-0.194848469,-1.338634288,-2.264164516,2.073111797,1.365204534,-0.580117033,1.211476683,-0.244193211,0.377677065,1.310798792,1.699230481,-1.2627193,-1.010301965,-2.908176664,-3.367462342,-3.197918869,-2.008584057,-0.210664092,-1.468322392,0.809127247,1.495525263,2.290734762,-1.516401885,-0.50736517,-0.186624345,-1.221598682,-0.081608612,-3.478804324,-1.637865866,1.697332606,-1.847264707,0.295435828,-1.820061837,-1.709985104,-0.37957494,-1.181110688,0.900225232,-3.904560882,-0.232805963,1.055218333,1.573970751,0.833166993,2.625393334,1.063442457,-2.824670178,0.839493242,-2.076274921,0.953365724,2.245185769,-5.173606431,-1.408855652,-3.683774792,3.047354142,-0.003163124,-3.97921062,0.842023742,-1.487301139,0.523180792,3.863440263,-1.275371798,-2.160414033,-2.258470892,-3.555984562,-1.922547071,-0.235969088,-2.422953366,1.524626009,-2.49317473,-3.431357457,-2.829731177,-0.435245931,1.303207294,1.659375112,1.034974336,-0.666786644,-4.322093315,-0.066425614,-0.900225232,-1.969361313,-1.606867245,0.085404361,1.162131941,1.16972344,1.796654715,1.07040133,2.627291209,0.921101854,2.388158997,0.115137732,-1.071033955,2.942971034,-3.292812603,-0.487121173,1.808041964,3.153002501,-2.11233454,-4.252504576,0.137912228,0.412471435,-2.870851795,-0.538996415,-1.493627388,-0.823044995,-0.302394702,-1.683414858,0.712968262,-0.926162853,-2.760142438,0.393492688,-0.860369864,-1.105828325,0.322006074,2.476093858,-0.866063488,1.305105168,0.065160365,-0.909714606,1.23172068,1.450608895
-2.792430978,0.235915249,1.47015478,-2.717628582,-2.464451243,3.069775246,-1.115131102,2.697489476,0.268713222,-2.47711011,2.245798085,3.431703762,2.228535994,1.258981863,-4.069825739,-3.072076858,-2.528320981,-2.663540696,-1.90285787,-3.238368338,-1.694561968,-0.575978448,0.138096731,-1.642200291,-2.493796798,1.422396328,0.979335983,-2.464451243,-2.595643137,2.101371921,-3.496148903,-3.198665528,0.74629775,0.102421742,1.750951467,1.101896832,-4.779297693,-4.2136765,-4.504255038,-4.150957568,-3.427100537,-2.058216693,-0.36653174,-4.202168439,-2.908662393,-0.687606639,-2.470205273,-1.335510468,4.153834583,-0.91834326,-2.473657691,-2.518539129,-0.461473242,-4.726936016,-1.11110328,-3.492121081,1.393050772,-4.907612572,-3.013385748,-1.680176892,-3.149180866,-0.516136532,-1.555314431,1.933354232,-2.213575515,0.818798533,1.005804523,2.066847738,-2.458121809,-0.846993283,-2.660088278,-2.16926948,3.245848578,-2.569174597,-3.793632277,1.529421294,2.006430419,-3.65438474,2.130142073,-2.420720611,3.485216245,0.49312041,-3.420771104,0.937906964,-1.512734606,0.9258235,-2.94203577,-3.32180178,-1.160012539,-1.965001399,0.224407188,3.60144766,1.669244234,-1.353923365,3.492696484,2.526019368,-1.128365372,-3.120986117,4.262010356,3.022016793,-3.371861845,-4.18720796,-2.476534707,1.672121249,0.626038513,2.218178739,-1.958096563,1.626664409,-1.461523735,-1.061618618,-1.221580665,-3.493271887,-2.92304747,-4.722908195,2.389648847,-0.301511196,-4.663641681,-1.034574675,1.304438703,-3.019715181,-1.855674821,-0.443060345,-4.051988244,2.867808777,-3.060568797,-3.86785927,-2.153158195,-4.182029332,-3.750477049,-2.768839453,2.059367499,-4.16649345,2.003553403,1.886746585,-3.908712886,-1.981688088,3.186006661,-4.199291424,-4.20044223,0.133493506,-0.846417879,-2.305064599,-3.066322828,-3.370135636,2.337862573,-4.245323667,-2.297584359,-0.959196876
-0.564934036,2.764570812,-0.888837984,-1.7352901,-0.204337843,-2.887932668,1.279167547,1.713148229,2.800630431,-0.21825559,2.469134984,1.267780299,1.197558935,1.384183281,3.041027893,0.380207565,0.978038095,-0.423226058,-2.092090544,-3.560412936,-1.86308033,-1.885854826,1.404427278,-3.058108766,-2.741796316,-3.446540454,1.076727579,-1.456935144,-0.34857632,-3.952640374,-0.086036986,-3.516761818,-2.93727741,0.112607232,0.672480268,-0.041120618,2.261001392,-2.127517538,0.058201491,0.446633179,-0.010121998,2.74748994,-1.655579363,1.642926865,-1.945321567,-2.008584057,-3.968455996,-1.468322392,0.809127247,-3.514863943,-2.719654444,-0.263804583,-3.012559773,-0.186624345,0.03099862,-0.081608612,1.531584882,0.867328738,-3.3130566,-1.847264707,-3.462356077,-1.820061837,-1.709985104,-0.37957494,-2.43370799,-2.857566672,1.105828325,2.27238864,-3.955170874,-3.436418456,0.833166993,2.625393334,1.063442457,-0.319475574,-0.41310406,1.681516984,0.953365724,2.245185769,-0.163217224,-2.661452953,0.074017113,1.794756841,-1.255760426,-0.221418715,-1.663170862,-1.487301139,-3.234611113,-3.652143547,-1.275371798,-2.160414033,-2.258470892,1.454404645,-0.669949769,-2.741163691,-2.422953366,-4.7383605,0.012019873,0.326434448,-2.829731177,0.817351371,-3.707181913,-3.351014094,-2.722817569,0.585810657,3.193490494,2.438768989,0.352372069,1.788430592,-2.859464547,-3.672387543,1.162131941,2.422320741,0.544057414,-1.434793273,-1.130500696,0.921101854,-1.369632908,0.115137732,0.181563346,0.437776431,-0.787618,2.01807343,0.555444662,-0.604789404,-2.11233454,-1.747309973,0.137912228,-3.34532047,-1.618254494,0.713600887,-1.493627388,0.429552307,-0.302394702,0.821779745,-0.53962904,0.326434448,-0.254947835,1.646089989,0.392227438,0.146768977,0.322006074,-0.029100745,-3.371258091,0.052507867,2.570354968,2.848077299,-0.020876622,1.450608895
1.940260568,2.764570812,-2.141435286,-2.987887402,-0.204337843,-0.382738064,0.026570246,-2.044643676,-2.209758775,-0.21825559,1.216537682,0.015182998,-0.055038366,-1.121011322,0.53583329,1.632804866,-0.274559207,-0.423226058,0.41310406,1.44997627,-0.610483028,-0.633257525,2.657024579,1.952280441,2.268592891,0.311251451,-0.175869722,-1.456935144,0.904020982,-0.194848469,1.166560315,0.241030087,2.073111797,-1.139990069,0.672480268,-1.29371792,1.00840409,-0.874920236,-2.446993112,0.446633179,-0.010121998,0.242295337,0.84961524,0.390329563,-1.945321567,3.00180515,1.04193321,-1.468322392,-0.443470055,-2.262266642,-2.719654444,-0.263804583,0.745232132,1.065972956,2.536193223,-1.334205914,1.531584882,-2.890463167,0.444735305,0.657929896,0.295435828,0.685132766,-0.457387803,2.125619663,1.324083915,-0.352372069,1.105828325,1.019791338,1.055218333,1.573970751,2.085764295,1.372796033,1.063442457,0.933121727,0.839493242,1.681516984,-1.551828879,-0.260008834,2.341977379,1.096338951,1.326614415,3.047354142,-1.255760426,2.283775888,-1.663170862,1.017893464,-3.234611113,-2.399546245,2.482420107,2.849975174,2.751918314,2.707001946,1.835244834,-0.235969088,-1.170356065,1.524626009,0.012019873,0.326434448,0.928060728,-0.435245931,1.303207294,1.659375112,1.034974336,0.585810657,0.688295891,1.186171687,2.857566672,0.53583329,0.898327358,0.085404361,1.162131941,-1.335471163,0.544057414,-0.182195971,0.122096606,-0.331495447,1.135561695,0.115137732,1.434160648,0.437776431,-0.787618,-1.739718474,0.555444662,-1.857386706,1.645457364,-0.494712672,-1.114685073,-0.840125867,-0.365657192,-0.538996415,-1.493627388,-0.823044995,-1.554992004,0.821779745,-0.53962904,0.326434448,-1.507545136,1.646089989,0.392227438,0.146768977,1.574603376,-0.029100745,0.386533814,1.305105168,-1.187436937,-0.909714606,-0.020876622,0.198011594
2.904059169,3.653809337,1.47015478,-2.717628582,3.232038905,0.791179187,-1.115131102,-4.138298701,-4.288478896,-1.33781208,2.245798085,-3.404084415,-3.467954153,-4.437508285,-4.069825739,3.763711319,4.307467196,1.893651422,-1.90285787,0.17952575,-1.694561968,-1.715276478,3.555990819,-2.78149832,-2.493796798,-3.13479579,0.979335983,2.092740875,3.100847011,-3.595118226,1.061043215,-3.198665528,-0.39300028,1.241719772,1.750951467,1.101896832,-4.779297693,1.482813647,1.19223511,0.40623455,1.130091581,-4.336812752,1.912064319,-4.202168439,-1.769364364,-1.826904669,-3.609503303,-1.335510468,0.735940495,-3.196939319,-2.473657691,-3.657837158,4.095718876,0.969554131,3.446088838,-3.492121081,1.393050772,0.788877575,1.54380637,-1.680176892,-3.149180866,-1.655434561,-1.555314431,1.933354232,-2.213575515,0.818798533,2.145102552,2.066847738,-3.597419839,-3.125589342,4.175699899,2.387922638,3.245848578,-2.569174597,-3.793632277,2.668719324,-3.690059729,2.042105407,2.130142073,-2.420720611,-3.350571932,3.911014498,2.275719044,3.216503023,-1.512734606,-1.352772559,3.893752407,-3.32180178,-1.160012539,-1.965001399,4.781599306,3.60144766,-2.887947884,-2.493221395,-2.203793663,2.526019368,1.150230687,-3.120986117,1.983414297,-3.813771384,-3.371861845,-4.18720796,-2.476534707,-4.024368898,-3.931153605,2.218178739,-0.818798533,2.765962438,0.817072324,1.216977441,3.335611453,1.063920231,0.494846619,-3.583610165,-2.167543271,-1.440809225,-0.106449563,2.383319413,1.304438703,-0.741119122,-0.716376791,-0.443060345,-4.051988244,2.867808777,-3.060568797,0.689332848,-3.292456225,-1.903433274,-3.750477049,1.788352664,2.059367499,-1.887897391,0.864255374,-3.809743562,0.648479232,-3.120986117,0.907410602,0.357900694,2.635345947,-3.284400582,2.571476209,-0.02646854,-3.066322828,1.187056482,1.198564543,2.590464509,-3.436882389,2.458697212
0.596608316,1.311769894,0.315593175,0.667959817,-1.264019275,0.754679333,0.023052023,0.399568403,0.256316544,-2.362832383,1.05545335,0.013172585,-3.307965336,0.114162401,0.464882469,-0.756874763,1.935272238,-0.367185799,0.358404076,-0.915494638,0.557090562,1.624069924,2.305202325,0.607036612,0.88146546,0.270037987,-0.15258244,0.909457203,-0.302420591,0.917690068,-1.161382886,0.209114782,1.798606671,0.09769667,0.583435731,-0.03567575,0.874879168,-1.845808433,-3.209719809,-2.872721183,-1.095519962,-4.136740458,-1.436360592,-0.74809304,-1.687737417,-0.655884947,-3.44298433,-1.273898713,3.962203711,-3.049453361,-2.359539237,-3.489088376,1.733292605,0.924825219,-1.059844212,-3.33101736,-0.844691995,0.752483902,-0.700891278,1.657550243,0.256316544,1.681151124,1.776652363,0.757423621,-1.024717319,-0.305713737,0.959403253,0.884758607,-1.25798184,0.27881971,1.809583825,0.104282962,-0.164108451,1.896303341,-3.618618793,0.372125518,0.827128549,0.861157726,0.945132953,-0.135567851,1.150954589,-0.616367193,-0.002744288,0.894638045,0.730529594,-1.290364444,0.453905315,-3.168555482,-1.106497116,3.559342161,2.38753098,0.175085605,1.592236177,-0.204723921,3.331566217,1.322747048,-2.163048182,-1.890265907,0.805174241,1.795862383,1.130646855,1.439653738,1.98466943,-0.578496012,-1.576319304,1.029108181,-1.867762741,-0.62185577,-2.480836788,-2.099380689,-1.16522489,2.10157612,0.472017619,-0.158071017,0.105929535,-0.287601433,-0.101538674,0.099892101,2.330998637,-1.793666952,-2.85680431,0.664117813,1.568635296,2.735506759,-1.832635848,-3.689421435,-3.140563739,-2.902359499,-2.490716226,-1.554364996,-0.209114782,-0.714063863,1.911122499,-3.633986808,-2.641652093,-1.890265907,-2.39466613,-0.745348752,1.427030011,0.127334986,-4.067584388,1.061490785,-1.838124425,0.045555189,2.230008821,1.38421911,-2.191588782,0.171792459
-0.564934036,1.511973511,-0.888837984,-2.987887402,-3.962129747,3.37505384,-3.731221659,1.713148229,-4.714953378,-3.976047495,-5.046448826,-3.742608907,-3.812830271,1.384183281,-4.474555916,-3.37758434,-2.77975381,-5.433615264,-2.092090544,-2.307815634,-1.86308033,-1.885854826,-3.605961929,-3.058108766,-2.741796316,-3.446540454,1.076727579,-0.204337843,-0.34857632,-3.952640374,-3.843828891,-3.516761818,-0.432082807,0.112607232,-5.59050624,1.211476683,-0.244193211,-0.874920236,1.310798792,2.951827782,1.242475303,-4.76809387,-0.402982061,-2.11486504,-1.945321567,-0.755986755,1.04193321,-1.468322392,3.31432185,-2.262266642,-2.719654444,0.988792718,1.997829434,2.318570258,3.788790525,2.423585991,1.531584882,2.119926039,4.202527209,-1.847264707,-3.462356077,-1.820061837,-1.709985104,0.873022362,-2.43370799,-2.857566672,1.105828325,-0.232805963,-3.955170874,-3.436418456,0.833166993,0.120198731,2.316039758,2.185719029,3.344687845,-2.076274921,-4.057023482,-0.260008834,2.341977379,-2.661452953,1.326614415,3.047354142,2.502031479,-3.97921062,-1.663170862,-1.487301139,4.280972697,0.105648358,-1.275371798,-2.160414033,-2.258470892,-3.555984562,-0.669949769,-2.741163691,-2.422953366,2.77722331,-3.745772032,2.831629052,0.928060728,-4.193037836,-3.707181913,-0.845819491,-2.722817569,-3.171981248,-4.322093315,2.438768989,1.604969371,0.53583329,-2.859464547,-3.672387543,1.162131941,2.422320741,-3.213734491,1.07040133,2.627291209,0.921101854,1.135561695,2.620332335,1.434160648,0.437776431,-2.040215302,-1.739718474,-3.202347243,-1.857386706,2.898054666,2.010481932,1.39050953,1.665068736,2.139537411,-3.044191018,1.011567215,1.682149609,-2.807589305,-4.188609462,-1.792226341,-2.178760155,-1.507545136,1.646089989,-3.365564467,-2.358425626,2.827200677,1.223496556,-0.866063488,1.305105168,0.065160365,1.595479997,-3.778668527,-3.559780311
-0.490129923,0.225031656,-0.771145063,-0.418778422,0.909457203,-1.418797145,0.023052023,0.399568403,-0.830421695,-1.276094144,-0.031284889,1.099910824,1.038987619,-0.972575838,0.464882469,0.329863476,-1.324942479,-0.367185799,1.445142315,0.171243601,0.557090562,0.537331685,1.218464086,0.607036612,0.88146546,1.356776226,-1.239320679,-1.264019275,-0.302420591,-0.169048171,-0.074644647,0.209114782,1.798606671,-0.989041569,0.583435731,-1.122413989,-2.385335549,-0.759070194,0.050494908,-0.699244705,-1.095519962,-0.876525741,0.737115886,0.338645199,0.485739061,-1.742623186,1.990706865,1.986316003,0.701988994,1.297499594,0.90067548,1.944602818,0.646554366,-0.16191302,0.026894027,-1.157540882,0.242046244,-0.334254337,-1.787629517,0.570812004,0.256316544,0.594412885,0.689914124,-1.416052857,1.148759159,0.781024502,-0.127334986,-1.288717871,-1.25798184,1.365557949,1.809583825,0.104282962,0.922629788,0.809565102,1.815072402,-0.714612721,-0.25960969,-0.225580513,-1.228343525,0.951170388,0.06421635,1.557109285,1.08399395,0.894638045,-0.356208645,-0.203626205,0.453905315,-0.995079004,-0.019758877,0.299127445,2.38753098,0.175085605,0.505497938,0.882014318,1.158089739,-0.850729429,-1.076309943,0.283210571,0.805174241,0.709124144,-1.042829623,-0.73382274,-0.188807048,0.508242227,-0.489581065,-1.144368297,-0.781024502,-0.62185577,0.779377929,0.074095789,-0.078486651,1.014837881,-0.61472062,-1.244809256,-0.980808704,-1.374339672,-1.188276913,0.099892101,-2.015954319,0.379809526,-0.683327832,0.664117813,-0.604841181,-1.611446197,1.427578868,0.65753152,1.206389217,-0.728883021,-1.403977987,-1.554364996,-0.209114782,-0.714063863,-0.262353979,-1.46051033,-2.641652093,-0.803527668,-0.221189652,-0.745348752,0.340291772,0.127334986,-0.807369671,-1.111985693,0.335352053,-1.04118305,0.056532343,-0.789257367,-0.018112304,-0.91494578
1.940260568,2.764570812,-0.888837984,0.769904503,-0.204337843,0.869859237,-1.226027056,1.713148229,-0.957161473,-2.723450194,1.216537682,0.015182998,-0.055038366,-1.121011322,-0.716764011,1.632804866,0.978038095,-0.423226058,-0.839493242,0.197378969,0.642114273,0.619339777,-3.605961929,-0.552914162,1.015995589,-0.941345851,-0.175869722,-0.204337843,0.904020982,-1.447445771,-0.086036986,0.241030087,-0.432082807,0.112607232,0.672480268,1.211476683,-1.496790513,-2.127517538,-2.446993112,0.446633179,-1.2627193,0.242295337,-0.402982061,-0.862267738,-0.692724265,-2.008584057,-2.715858695,-1.468322392,0.809127247,-2.262266642,-2.719654444,-2.768999186,0.745232132,-0.186624345,-2.474195983,-0.081608612,1.531584882,-0.385268564,0.444735305,-0.594667406,0.295435828,0.685132766,0.795209499,0.873022362,1.324083915,-1.604969371,-1.399366278,-1.485403265,-1.44997627,0.321373449,-0.419430309,-1.132398571,-0.189154845,-0.319475574,2.092090544,0.428919682,0.953365724,-0.260008834,1.089380077,1.096338951,-1.178580188,0.542159539,-0.003163124,-0.221418715,-0.41057356,-0.234703838,0.523180792,3.863440263,-1.275371798,0.34478057,-2.258470892,-3.555984562,-0.669949769,-0.235969088,-2.422953366,0.272028707,0.012019873,-0.926162853,-2.829731177,-4.193037836,0.050609992,0.406777811,-1.470220267,-0.666786644,-1.816898712,-1.319022916,1.604969371,-1.969361313,0.898327358,0.085404361,1.162131941,-0.082873862,-0.708539888,-1.434793273,-1.130500696,-0.331495447,-1.369632908,-1.13745957,0.181563346,1.690373732,0.464979301,0.765476129,-0.69715264,0.647807897,-2.11233454,-0.494712672,0.137912228,-2.092723169,-1.618254494,-0.538996415,-0.241030087,-0.823044995,-0.302394702,-4.188609462,0.712968262,-2.178760155,-0.254947835,1.646089989,0.392227438,0.146768977,-0.930591228,-0.029100745,0.386533814,0.052507867,-1.187436937,-0.909714606,-1.273473923,-1.054585708
