,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
q06_1,0.004945584,-0.016530764,0.024469565,-0.066172687,-0.064651277,0.003694053,-0.011089348,-0.016856557,0.002146984,-0.098849872,-0.016787946,0.111556122,-0.020131627,-0.67418337,0.070584067,-0.09949889,0.023246302,0.043600091,0.054346298,0.130466222,-0.056362781,-0.104458213,-0.091785002,0.0281034,0.003075078,0.057525548,-0.010166301,-0.09549179,0.09848688,-0.009809645,0.050015523,0.047723435
q06_2,0.001540702,0.036943796,-0.081781666,0.00964694,-0.040076097,-0.003175986,0.016108493,0.062525894,-0.074770183,0.006723674,-0.047434206,0.136260816,-0.072560721,-0.709521482,0.013108165,-0.058052249,-0.030822742,0.0702449,-0.139577118,-0.007670703,0.056728644,-0.038588004,0.002688218,0.004517054,-0.01591228,0.030691037,-0.012806111,0.049447575,-0.047563983,0.015281837,0.01267121,0.054625822
q06_3,0.019328351,0.081327672,0.116149821,0.018523352,0.121642659,0.121308203,0.024466161,0.278452932,0.226621273,-0.019316154,0.012043546,0.007149738,0.152249319,0.516017032,-0.044562355,0.05930289,-0.021899554,-0.04174725,0.019469859,0.090639284,-0.044074024,-0.044835604,-0.00392362,0.036399605,0.003143801,0.12654802,-0.094903988,0.046327542,0.132996011,0.025511487,-0.024733537,0.053729967
q06_4,0.181638525,0.029041801,0.025186088,-0.017076342,0.000145801,0.219224871,-0.030585981,-0.056713843,0.15032318,-0.046592424,0.112402054,-0.01996979,0.130111444,0.593996666,0.175433585,0.165112038,0.032264467,0.023377268,0.086804315,0.11160906,-0.032287591,-0.043849014,-0.031669059,0.068505032,0.018183411,0.006210449,0.07313837,-0.012554419,0.118925682,0.026097412,0.089875639,0.107426557
q06_5,0.13512953,0.136059204,-0.081804588,0.103439942,0.041984193,0.125894544,-0.038676591,0.25214976,0.039507879,0.094868205,0.060612724,-0.002843627,0.211061538,0.293222262,0.015488059,0.180749535,0.025048169,0.056953359,-0.074366996,0.195433166,0.123992533,-0.050209515,-0.016532288,0.126928681,0.018424493,-0.344808492,-0.045448098,-0.029945223,-0.014022499,0.087565117,0.183903876,0.166756576
q06_6,-0.041695708,0.166593181,0.000277927,-0.083052649,0.126063317,-0.127566469,-0.061658101,-0.131065279,0.020187395,-0.050275193,-0.084915671,0.020189907,-0.127681222,-0.375291988,-0.069772113,-0.128794136,-0.017493905,-0.019209742,0.032638375,-0.101270403,-0.026251065,-0.02294107,0.004803121,-0.003597463,-0.005228195,0.453005276,-0.092790921,0.051421977,0.186742709,0.128646475,0.001937843,0.072054397
q06_7,0.12405019,-0.099265341,0.011800696,0.124048671,-0.112893268,0.199237688,0.079591543,0.163983968,0.090517458,0.034738159,0.141567968,0.050707855,0.179352224,0.271621621,0.149924255,0.147927904,-0.012952489,0.049664777,-0.033625313,0.376627143,-0.058629865,-0.009076527,-0.020067668,0.026463916,0.018933321,-0.330335561,0.108923502,-0.077753047,-0.070072264,-0.04429584,0.118529178,0.085221351
q06_8,0.022991092,-0.160952844,-0.018131428,-0.101153447,-0.029786662,-0.036462554,0.038909671,0.113449292,0.026276406,-0.027287531,-0.080274925,-0.067381806,0.020265265,-0.011949582,0.004698305,0.032953425,0.079832747,0.081052454,0.006438005,-0.011919936,-0.030857842,-0.070429067,0.015248091,0.057097134,-0.017605648,0.024770245,-0.06460745,0.061110804,0.05989472,0.040985931,0.001960604,0.704662229
q06_9,-0.068459644,-0.140884849,0.061895491,0.012326877,-0.085363849,0.155387338,0.009547045,-0.044633911,-0.015333255,0.004191455,0.038070237,0.091782708,0.055560206,0.014492639,0.063215849,-0.110693655,-0.062578557,0.019358231,0.11827481,0.01820137,-0.017734347,-0.054972446,0.035521107,-0.060844907,0.053158302,0.688007639,0.066118083,0.034726827,-0.055284912,0.050403983,0.012750399,0.018056188
q06_10,0.102825417,-0.056796938,0.085002002,0.034197981,-0.079527744,0.227325979,0.048350648,0.093453179,0.177593152,0.030900842,0.123617573,-0.017466732,0.191612381,0.345354878,0.130572622,0.166014668,0.019564243,0.004058113,0.036702748,0.34389014,0.030258576,-0.062234334,-0.083687288,0.026249228,-0.022726661,-0.118587147,0.082203956,0.049645464,0.12883054,-0.083631884,0.021099272,0.045219758
