,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
q06_1,-0.100495911,-0.257267674,0.11857921,0.066592712,0.132719951,0.285396629,0.138980856,0.036134215,0.093906035,-0.049087047,0.146345695,0.130870095,0.183075731,0.041001784,0.128285405,0.246433693,-0.100781001,-0.161399164,-0.065567522,0.06867979,-0.202067845,0.11201933,-0.002380532,-0.202114636,0.032178056,0.006847843,-0.122685321,-0.173923803,-0.02574382,0.089719616,-0.00372265,-0.061888577
q06_2,-0.102509396,-0.225564375,0.235123817,0.219075816,0.248349946,0.176078525,0.217817817,0.000417113,0.153093443,-0.006912746,0.022657407,0.205907653,0.167945017,0.170662484,0.053906608,0.242854976,0.028662671,-0.075694874,-0.099843759,0.070757051,-0.159293735,0.068122998,-0.056076753,-0.123773362,-0.025818854,-0.038689299,-0.065800355,-0.076407013,-0.026969319,0.023585143,0.060898365,-0.120355674
q06_3,0.283917708,0.379894367,0.024456814,-0.16976818,-0.107865475,-0.045165048,-0.266490018,-0.07556487,-0.147899612,0.044164282,0.097288117,-0.049729618,-0.193311223,-0.078942955,0.065012892,-0.067372555,0.022322284,0.048335459,0.015844093,0.006517383,0.082064163,0.087250576,0.042125519,0.203186438,-0.008022319,0.149124656,0.002829288,0.025996454,-0.016228345,-0.039137718,-0.001231586,0.149260653
q06_4,0.336708398,0.178017864,-0.347656561,-0.333121128,-0.080852708,-0.104949881,-0.239658839,0.026629978,-0.086313355,0.112854167,0.012835207,-0.121020881,-0.049632655,-0.042132523,-0.001985905,-0.112404299,-0.084644136,0.040192071,0.12920479,0.082816847,0.173141201,0.027976195,0.031242814,0.121523371,0.036494716,0.175500421,-0.012682958,0.042040027,0.045126829,0.001609102,-0.004156677,0.060911449
q06_5,0.34121911,0.316974416,-0.094215146,-0.223045603,0.185146104,-0.270494134,-0.093858047,0.13359481,0.087074833,0.09788782,0.042597505,0.184573138,-0.067707835,0.002104873,0.051900561,-0.108691443,0.024205057,0.045570165,0.024899026,0.0998292,0.047345974,0.084034592,0.047551643,0.000744267,0.099850436,0.006065932,0.187705549,0.067271043,-0.065003626,0.145350258,0.053094091,-0.059736466
q06_6,-0.151253635,-0.279788538,0.197770723,0.266813267,-0.079154147,0.215760219,0.064884924,-0.089616505,-0.035380858,0.060687319,0.190397856,-0.203709054,0.031221233,0.102200594,0.114638735,0.230548424,0.082954575,-0.035496476,-0.036460858,-0.023437739,-0.055797715,0.186841218,0.03558379,0.077238741,0.094187529,0.078723888,-0.143276527,-0.055716317,0.036784832,-0.010266679,0.177372564,0.035174733
q06_7,0.334216734,0.303858715,-0.187165919,-0.326469667,0.129684295,-0.119084304,-0.104553796,0.156937161,0.056094476,-0.075746477,-0.031763186,0.22703148,0.097908596,-0.145869454,-0.020532387,-0.092534948,-0.147902204,-0.058226671,0.022768691,0.148033982,0.045558825,-0.081312381,0.038814502,-0.004862243,-0.048717158,0.041516206,0.06299139,0.033384489,0.022514523,0.084861238,-0.109340368,-0.119651351
q06_8,-0.088647526,0.0919075,-0.091472682,-0.186620789,-0.00886893,0.163209944,0.025011965,-0.009582256,0.186386708,0.049517174,0.250909439,0.096742584,-0.032324229,0.087758228,0.008274838,-0.103063198,0.132163768,0.023719743,-0.009767846,-0.023663253,0.103345005,0.261787588,-0.019963815,0.108344086,-0.206360093,0.223651211,0.047887958,-0.154409228,-0.103955568,0.071349872,0.239526031,-0.287990852
q06_9,-0.024033545,0.014016577,-0.008185618,0.099812636,-0.139389158,0.254391082,-0.014781379,-0.144997548,-0.057704422,-0.13617512,0.124201222,-0.17034198,0.148032397,0.035885307,-0.078278444,0.181112264,-0.086141921,0.056407213,0.029786105,-0.014569964,-0.038634017,0.070755047,-0.136858044,0.101314702,-6.15542E-05,0.42409028,-0.10715836,0.15898129,0.242132625,-0.172920782,-0.002509224,0.097376237
q06_10,0.341508422,0.338429497,-0.217344938,-0.349021578,-0.006982775,-0.03989147,-0.148507426,0.07294258,-0.045877883,0.006931374,-0.017077896,0.083125321,0.112532924,-0.105454351,0.021800062,-0.053441811,-0.116577744,-0.10460394,0.037833667,0.062896621,0.037208754,-0.058123584,-0.003674308,0.058741051,0.021327693,0.092843246,-0.039727125,-0.018212512,-0.057170324,-0.011589369,0.015993787,0.061820443
q06_11,0.162361335,0.054487911,0.106605304,0.055847127,-0.145622071,0.044235395,0.214189493,0.030675695,-0.069367464,0.083921559,0.308547391,-0.006951621,-0.164500043,0.020385007,-0.000190194,0.030361806,0.054198583,0.035907253,-0.055001189,-0.124360187,0.010157927,0.119697274,0.128356458,0.089788857,-0.08628551,0.220125813,-0.142272828,0.27499637,0.054684945,0.17347544,0.185268053,-0.128041881
q06_12,0.364661213,0.20713018,-0.094547721,-0.143746367,-0.043243678,-0.018300654,0.033362114,0.272747049,0.001320405,-0.203700154,0.242069972,0.238003905,0.183085617,-0.166643221,0.156129063,0.054869327,-0.106762577,-0.34794969,-0.133000538,0.024768942,-0.141836237,-0.164685489,0.087578313,0.204040637,0.117659271,0.003406178,0.012339479,0.063776657,-0.016160926,0.04962898,0.053087151,0.019968961
q06_13,0.353884362,0.20142607,-0.03898827,-0.096584084,-0.054217101,0.027701311,0.031317796,0.228726968,0.001846681,-0.205548647,0.300602979,0.188162022,0.203377241,-0.15989245,0.163381269,0.076348951,-0.090439937,-0.331670538,-0.154036825,0.015079326,-0.165303308,-0.139288271,0.043047891,0.256701359,0.109995829,0.012636161,-0.00309054,0.079353066,0.041702523,0.055137219,0.089824055,0.046779124
q06_14,0.019647476,0.133654763,0.131887686,0.160886262,0.304033538,0.106583189,-0.423615077,0.239372886,-0.032707735,-0.416746373,-0.162185,-0.075527706,0.004985236,0.204477727,-0.075190698,0.033110002,0.106515551,-0.042932157,0.105099595,0.023663955,0.014776537,0.109066024,0.061886691,0.058953935,0.050937517,0.105139957,-0.023362111,0.061768336,-0.009328632,0.108602223,0.018518967,-0.015923812
q06_15,0.143198221,0.13255605,0.121428317,0.091593848,0.19845762,0.072732231,-0.352406777,0.29849813,-0.042578481,-0.366773599,-0.078638627,-0.014916381,-0.032114223,0.163705627,-0.030319014,0.086975745,0.123565186,-0.052955372,0.103272048,0.001879216,0.074481621,0.013114842,0.07587822,0.014294124,0.053032987,0.067244484,-0.093251025,0.173584446,0.007872695,0.072389464,0.068835678,-0.032042826
q06_16,0.197577409,-0.063284932,-0.143924535,-0.236419576,-0.168250548,-0.147077795,0.462609115,-0.111460079,0.076586255,0.391347331,0.233129359,0.157351347,-0.004320262,-0.199335789,0.080383015,-0.044233648,-0.089869205,0.112081795,-0.065157826,0.009880328,0.00977522,0.038723639,-0.041176236,-0.081741922,-0.020017394,0.029112528,0.035970255,0.019498686,0.018077688,-0.035903378,0.035518171,0.051515656
q06_17,0.22191488,-0.101800011,-0.160322116,-0.152026352,-0.152153668,-0.079365284,0.370002729,-0.038093577,0.093446149,0.348781161,0.272859879,0.123244174,-0.045857496,-0.200748083,0.101898436,-0.038650023,-0.132061867,0.061521114,-0.118526571,0.018731887,-0.044415373,0.09915515,0.055808169,-0.020424615,0.01835049,0.09217633,0.009646374,0.082530754,0.011696072,-0.06171155,-0.032781246,0.044864963
